title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
Avengers: Endgame (2019),1914531638,514531638,1.40E+09,4662,PG-13,3.56E+08,April,2019,9.01,57106730.08,514531638,Spring
Tootsie (1982),177200000,177200000,0,1222,PG,2.10E+07,December,1982,2.94,60272108.84,543051700.7,Winter
The Toy (1982),47118057,47118057,0,1542,PG,NA,December,1982,2.94,16026550,144399215.5,Winter
First Blood (1982),125212904,47212904,7.80E+07,1054,R,1.50E+07,October,1982,2.94,16058810.88,144689886.1,Fall
E.T.: The Extra-Terrestrial (1982),NA,NA,0,NA,PG,10500000,June,1982,2.94,NA,NA,Summer
The Empire Strikes Back (Re-issue) (1982),290475067,290475067,0,NA,PG,NA,November,1982,2.94,98801043.2,890197399.2,Fall
Creepshow (1982),NA,NA,0,NA,R,NA,November,1982,2.94,NA,NA,Fall
An Officer and a Gentleman (1982),129795554,129795554,0,NA,R,NA,July,1982,2.94,44148147.62,397774810,Summer
Zapped! (1982),16897768,16897768,0,NA,R,NA,July,1982,2.94,5747540.136,51785336.63,Summer
Star Trek II: The Wrath of Khan (1982),NA,NA,0,NA,PG,11200000,June,1982,2.94,NA,NA,Summer
Rocky III (1982),125049125,125049125,0,1317,PG,NA,May,1982,2.94,42533715.99,383228781,Spring
Conan the Barbarian (1982),68851475,39565475,29286000,1683,R,NA,May,1982,2.94,13457644.56,121253377.5,Spring
Porky's (1982),111289673,111289673,0,1605,R,NA,March,1982,2.94,37853630.27,341061208.8,Spring
Richard Pryor: Live on the Sunset Strip (1982),36299720,36299720,0,1277,R,NA,March,1982,2.94,12346843.54,111245060.3,Spring
On Golden Pond (1981),119285432,119285432,0,NA,PG,NA,December,1981,2.78,42908428.78,386604943.3,Winter
Absence of Malice (1981),40716963,40716963,0,NA,PG,NA,November,1981,2.78,14646389.57,131963970,Fall
Time Bandits (1981),42365581,42365581,0,821,PG,NA,November,1981,2.78,15239417.63,137307152.8,Fall
Terms of Endearment (1983),108423489,108423489,0,NA,PG,8.00E+06,November,1983,3.15,34420155.24,310125598.7,Fall
Sudden Impact (1983),67642693,67642693,0,1602,R,NA,December,1983,3.15,21473870.79,193479575.9,Winter
The Big Chill (1983),56399659,56399659,0,832,R,NA,September,1983,3.15,17904653.65,161320929.4,Fall
Never Say Never Again (1983),55432841,55432841,0,1560,PG,NA,October,1983,3.15,17597727.3,158555523,Fall
Richard Pryor: Here and Now (1983),16156776,16156776,0,1411,R,NA,October,1983,3.15,5129135.238,46213508.5,Fall
Mr. Mom (1983),64783827,64783827,0,NA,PG,NA,July,1983,3.15,20566294.29,185302311.5,Summer
Easy Money (1983),29309766,29309766,0,1171,R,NA,August,1983,3.15,9304687.619,83835235.45,Summer
National Lampoon's Vacation (1983),61399552,61399552,0,1253,R,NA,July,1983,3.15,19491921.27,175622210.6,Summer
Jaws 3-D (1983),87987055,45517055,42470000,1311,PG,NA,July,1983,3.15,14449858.73,130193227.2,Summer
Staying Alive (1983),64892670,64892670,0,1747,PG,NA,July,1983,3.15,20600847.62,185613637,Summer
Return of the Jedi (1983),NA,NA,0,NA,PG,32500000,May,1983,3.15,NA,NA,Spring
Superman III (1983),59950623,59950623,0,1763,PG,NA,June,1983,3.15,19031943.81,171477813.7,Summer
Blue Thunder (1983),42313354,42313354,0,1555,R,NA,May,1983,3.15,13432810.79,121029625.3,Spring
Flashdance (1983),92921203,92921203,0,1140,R,NA,April,1983,3.15,29498794.6,265784139.4,Spring
Lone Wolf McQuade (1983),12232628,12232628,0,1221,PG,NA,April,1983,3.15,3883373.968,34989199.45,Spring
Spring Break (1983),24071666,24071666,0,1531,R,NA,March,1983,3.15,7641798.73,68852606.56,Spring
High Road to China (1983),28445927,28445927,0,1508,PG,NA,March,1983,3.15,9030453.016,81364381.67,Spring
Beverly Hills Cop (1984),316360478,234760478,81600000,2006,R,NA,December,1984,3.36,69869189.88,629521400.8,Winter
The Terminator (1984),78371200,38371200,4.00E+07,1112,R,6400000,October,1984,3.36,11420000,102894200,Fall
Supergirl (1984),14296438,14296438,0,1620,PG,NA,November,1984,3.36,4254892.262,38336579.28,Fall
