title,widest_opening,rating,budget,gross_adj,season
Avengers: Endgame (2019),4662,PG-13,3.56E+08,514531638,Spring
Tootsie (1982),1222,PG,2.10E+07,543051700.7,Winter
The Toy (1982),1542,PG,NA,144399215.5,Winter
First Blood (1982),1054,R,1.50E+07,144689886.1,Fall
E.T.: The Extra-Terrestrial (1982),NA,PG,10500000,NA,Summer
The Empire Strikes Back (Re-issue) (1982),NA,PG,NA,890197399.2,Fall
Creepshow (1982),NA,R,NA,NA,Fall
An Officer and a Gentleman (1982),NA,R,NA,397774810,Summer
Zapped! (1982),NA,R,NA,51785336.63,Summer
Star Trek II: The Wrath of Khan (1982),NA,PG,11200000,NA,Summer
Rocky III (1982),1317,PG,NA,383228781,Spring
Conan the Barbarian (1982),1683,R,NA,121253377.5,Spring
Porky's (1982),1605,R,NA,341061208.8,Spring
Richard Pryor: Live on the Sunset Strip (1982),1277,R,NA,111245060.3,Spring
On Golden Pond (1981),NA,PG,NA,386604943.3,Winter
Absence of Malice (1981),NA,PG,NA,131963970,Fall
Time Bandits (1981),821,PG,NA,137307152.8,Fall
Terms of Endearment (1983),NA,PG,8.00E+06,310125598.7,Fall
Sudden Impact (1983),1602,R,NA,193479575.9,Winter
The Big Chill (1983),832,R,NA,161320929.4,Fall
Never Say Never Again (1983),1560,PG,NA,158555523,Fall
Richard Pryor: Here and Now (1983),1411,R,NA,46213508.5,Fall
Mr. Mom (1983),NA,PG,NA,185302311.5,Summer
Easy Money (1983),1171,R,NA,83835235.45,Summer
National Lampoon's Vacation (1983),1253,R,NA,175622210.6,Summer
Jaws 3-D (1983),1311,PG,NA,130193227.2,Summer
Staying Alive (1983),1747,PG,NA,185613637,Summer
Return of the Jedi (1983),NA,PG,32500000,NA,Spring
Superman III (1983),1763,PG,NA,171477813.7,Summer
Blue Thunder (1983),1555,R,NA,121029625.3,Spring
Flashdance (1983),1140,R,NA,265784139.4,Spring
Lone Wolf McQuade (1983),1221,PG,NA,34989199.45,Spring
Spring Break (1983),1531,R,NA,68852606.56,Spring
High Road to China (1983),1508,PG,NA,81364381.67,Spring
Beverly Hills Cop (1984),2006,R,NA,629521400.8,Winter
The Terminator (1984),1112,R,6400000,102894200,Fall
Supergirl (1984),1620,PG,NA,38336579.28,Fall
Missing in Action (1984),1209,R,NA,61172566.4,Fall
"Oh, God! You Devil! (1984)",1384,PG,NA,57757451.93,Fall
Teachers (1984),1721,R,NA,74477939.1,Fall
All of Me (1984),1200,PG,NA,97616549.6,Fall
Ghostbusters (1984),1506,PG,3.00E+07,649504264.2,Summer
